keyword,weightage
applet,0.3513937958175386
method,0.2483396372911132
methods,0.2483396372911132
class,0.20315283764888475
object,0.19944651800852273
objects,0.19944651800852273
code,0.1608897705179635
string,0.15030264046690986
strings,0.15030264046690986
int,0.1252240042584497
reference,0.11478024656597428
browser,0.11169451263827809
array,0.09304532140406356
following,0.08884865361134663
comment,0.0841657366139304
comments,0.0841657366139304
parameters,0.0821140594121533
example,0.08024818777715344
called,0.07420433106932363
memory,0.07374240935687404
compiler,0.06854429279614928
file,0.06690500132679361
language,0.06264456599996428
executed,0.06072834997397631
value,0.06068897611495948
public,0.06065530244634097
machine,0.06027215803341505
button,0.05350630325428569
return,0.052660924447629494
version,0.05072971479854266
length,0.04866318265900767
boolean,0.04846936599525344
runtime,0.04775734250816256
instance,0.046772061718053
passed,0.04632325959653154
void,0.04613395564944318
www,0.04487160267083837
width,0.04448879131320621
predefined,0.04428182919743542
need,0.04418667232655599
note,0.04374740763595593
gui,0.041194028937721484
final,0.04033430539759067
tag,0.038794252426112084
platform,0.03829735852293403
stack,0.03748478468355706
element,0.03735869118647925
const,0.03329556221491047
